RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,Index
25,12,0,-49.64,0.003,89.9,A2356raw13.mat_Line8991
25,12,0,-52.77,-0.016,89.91,A2356raw13.mat_Line8992
25,12,0,-54.11,-0.001,89.92,A2356raw13.mat_Line8993
25,12,0,-54.19,0.009,89.93,A2356raw13.mat_Line8994
25,12,0,-48.22,0,90.12,A2356raw13.mat_Line9013
25,12,0,-53.62,-0.014,90.14,A2356raw13.mat_Line9015
25,12,0,-52.66,0.007,90.39,A2356raw13.mat_Line9040
25,12,0,-44.62,-0.003,90.42,A2356raw13.mat_Line9043
25,12,0,-43.58,0.002,90.44,A2356raw13.mat_Line9045
25,12,0,-50,0.004,90.46,A2356raw13.mat_Line9047
25,12,0,-43.98,0.007,90.54,A2356raw13.mat_Line9055
25,12,0,-43.61,0,90.55,A2356raw13.mat_Line9056
25,12,0,-43.25,-0.004,91.1,A2356raw13.mat_Line9111
25,12,0,-43.99,0.006,91.11,A2356raw13.mat_Line9112
25,12,0,-46.05,-0.004,91.12,A2356raw13.mat_Line9113
25,12,0,-49.13,0.002,91.13,A2356raw13.mat_Line9114
25,12,0,-52.16,0.009,91.14,A2356raw13.mat_Line9115
25,12,0,-44.73,-0.004,91.2,A2356raw13.mat_Line9121
25,12,0,-45.23,0.007,91.34,A2356raw13.mat_Line9135
25,12,0,-44.44,-0.003,91.45,A2356raw13.mat_Line9146
25,12,0,-47.62,-0.001,91.46,A2356raw13.mat_Line9147
25,12,0,-50.74,0.003,91.47,A2356raw13.mat_Line9148
25,12,0,-45.49,-0.001,91.87,A2356raw13.mat_Line9188
25,12,0,-43.17,-0.007,91.89,A2356raw13.mat_Line9190
25,12,0,-53.97,0.003,91.93,A2356raw13.mat_Line9194
25,12,0,-54.51,-0.007,91.94,A2356raw13.mat_Line9195
25,12,0,-50.85,0.01,92.03,A2356raw13.mat_Line9204
25,12,0,-52.83,0.007,92.04,A2356raw13.mat_Line9205
25,12,0,-53.78,-0.01,92.05,A2356raw13.mat_Line9206
25,12,0,-43.82,0.009,92.22,A2356raw13.mat_Line9223
25,12,-0,-46.6,-0.008,92.24,A2356raw13.mat_Line9225
25,12,0,-49.65,0,92.25,A2356raw13.mat_Line9226
25,12,0,-52.97,0.006,92.26,A2356raw13.mat_Line9227
25,12,0,-54.46,0,92.27,A2356raw13.mat_Line9228
25,12,0,-54.6,-0.004,92.28,A2356raw13.mat_Line9229
25,12,0,-53.78,0.002,92.29,A2356raw13.mat_Line9230
25,12,0,-50.79,-0.001,92.3,A2356raw13.mat_Line9231
25,12,0,-44.9,-0.003,92.32,A2356raw13.mat_Line9233
25,12,0,-46.13,0.002,92.35,A2356raw13.mat_Line9236
25,12,0,-54.61,0.006,92.38,A2356raw13.mat_Line9239
25,12,0,-54.71,0.007,92.39,A2356raw13.mat_Line9240
25,12,0,-53.92,0.012,92.4,A2356raw13.mat_Line9241
25,12,0,-51.95,0.013,92.41,A2356raw13.mat_Line9242
25,12,0,-48.81,-0.001,92.42,A2356raw13.mat_Line9243
25,12,0,-45.42,0.004,92.46,A2356raw13.mat_Line9247
25,12,0,-48.47,-0.007,92.47,A2356raw13.mat_Line9248
25,12,-0,-51.85,0.007,92.48,A2356raw13.mat_Line9249
25,12,0,-54.48,-0.003,92.5,A2356raw13.mat_Line9251
25,12,0,-53.17,-0.006,92.51,A2356raw13.mat_Line9252
25,12,0,-51.01,0.003,92.52,A2356raw13.mat_Line9253
25,12,0,-49.14,-0.014,93.09,A2356raw13.mat_Line9310
25,12,0,-49.43,0.003,94.6,A2356raw13.mat_Line9461
25,12,0,-52.91,0,94.61,A2356raw13.mat_Line9462
25,12,-0,-53.97,0.006,94.62,A2356raw13.mat_Line9463
25,12,0,-54.52,0,94.63,A2356raw13.mat_Line9464
25,12,-0,-52.91,-0.001,94.64,A2356raw13.mat_Line9465
25,12,0,-63.96,0.002,94.72,A2356raw13.mat_Line9473
25,12,0,-70.09,-0.008,94.73,A2356raw13.mat_Line9474
25,12,0,-69.73,0.004,94.75,A2356raw13.mat_Line9476
25,12,0,-66.29,0,94.76,A2356raw13.mat_Line9477
25,12,0,-61.45,0.02,94.78,A2356raw13.mat_Line9479
25,12,0,-61.2,0,94.79,A2356raw13.mat_Line9480
25,12,0,-69.39,-0.004,94.81,A2356raw13.mat_Line9482
25,12,-0,-92.16,-0.004,94.84,A2356raw13.mat_Line9485
25,12,0,-95.68,-0.007,94.85,A2356raw13.mat_Line9486
25,12,0,-88.27,0.003,94.88,A2356raw13.mat_Line9489
25,12,0,-83.26,0.007,94.9,A2356raw13.mat_Line9491
25,12,0,-85.6,0.002,94.91,A2356raw13.mat_Line9492
25,12,0,-89.16,0.016,94.92,A2356raw13.mat_Line9493
25,12,0,-95.09,-0.007,94.93,A2356raw13.mat_Line9494
25,12,-0,-100.32,0.002,94.94,A2356raw13.mat_Line9495
25,12,-0,-104.22,-0.001,94.95,A2356raw13.mat_Line9496
25,12,0,-106.56,0.002,94.96,A2356raw13.mat_Line9497
25,12,0,-104.49,0.006,94.98,A2356raw13.mat_Line9499
25,12,0,-100.63,-0.008,94.99,A2356raw13.mat_Line9500
25,12,0,-96.84,0.007,95,A2356raw13.mat_Line9501
25,12,0,-93.65,-0.001,95.01,A2356raw13.mat_Line9502
25,12,0,-92.84,0.002,95.02,A2356raw13.mat_Line9503
25,12,0,-98.04,-0.004,95.04,A2356raw13.mat_Line9505
25,12,0,-102.64,-0.011,95.05,A2356raw13.mat_Line9506
25,12,0,-106.01,0.002,95.06,A2356raw13.mat_Line9507
25,12,0,-107.7,0.006,95.07,A2356raw13.mat_Line9508
25,12,0,-106.03,0.01,95.09,A2356raw13.mat_Line9510
25,12,0,-102.51,-0.004,95.1,A2356raw13.mat_Line9511
25,12,0,-98.51,0,95.11,A2356raw13.mat_Line9512
25,12,0,-95.56,0.006,95.12,A2356raw13.mat_Line9513
25,12,0,-94.75,0,95.13,A2356raw13.mat_Line9514
25,12,0,-95.97,0.003,95.14,A2356raw13.mat_Line9515
25,12,0,-99.3,-0.014,95.15,A2356raw13.mat_Line9516
25,12,-0,-103.21,0.004,95.16,A2356raw13.mat_Line9517
25,12,0,-106.25,-0.001,95.17,A2356raw13.mat_Line9518
25,12,0,-107.59,0.007,95.18,A2356raw13.mat_Line9519
25,12,0,-107.87,0.002,95.19,A2356raw13.mat_Line9520
25,12,-0,-105.6,0,95.2,A2356raw13.mat_Line9521
25,12,0,-101.65,-0.004,95.21,A2356raw13.mat_Line9522
25,12,0,-98.02,-0.001,95.22,A2356raw13.mat_Line9523
25,12,0,-95.16,0.004,95.23,A2356raw13.mat_Line9524
25,12,0,-94.46,-0.003,95.24,A2356raw13.mat_Line9525
25,12,0,-96.3,-0.007,95.25,A2356raw13.mat_Line9526
25,12,0,-100.06,-0.001,95.83,A2356raw13.mat_Line9584
25,12,0,-102.01,-0.003,95.84,A2356raw13.mat_Line9585
25,12,-0,-102.99,-0.004,95.85,A2356raw13.mat_Line9586
25,12,0,-102.68,-0.004,95.86,A2356raw13.mat_Line9587
25,12,0,-93.15,-0.004,95.9,A2356raw13.mat_Line9591
25,12,0,-92.81,-0.001,95.91,A2356raw13.mat_Line9592
25,12,0,-96.95,0.012,95.93,A2356raw13.mat_Line9594
25,12,-0,-99.82,-0.004,95.94,A2356raw13.mat_Line9595
25,12,0,-102.13,-0.01,95.95,A2356raw13.mat_Line9596
25,12,0,-103.33,-0.014,95.96,A2356raw13.mat_Line9597
25,12,0,-99.09,0.002,96.32,A2356raw13.mat_Line9633
25,12,0,-99.36,-0.01,96.38,A2356raw13.mat_Line9639
25,12,0,-101.86,-0.006,96.39,A2356raw13.mat_Line9640
25,12,0,-103.17,0.009,96.41,A2356raw13.mat_Line9642
25,12,0,-102.04,0.009,96.42,A2356raw13.mat_Line9643
25,12,0,-134.93,-0.007,99.31,A2356raw13.mat_Line9932
25,12,0,-144.24,-0.008,99.38,A2356raw13.mat_Line9939
25,12,0,-155.97,-0.006,99.42,A2356raw13.mat_Line9943
25,12,0,-154.66,0,99.43,A2356raw13.mat_Line9944
25,12,0,-150.66,-0.008,99.44,A2356raw13.mat_Line9945
25,12,0,-146.11,0,99.46,A2356raw13.mat_Line9947
25,12,0,-157.9,-0.007,99.53,A2356raw13.mat_Line9954
25,12,0,-154.86,-0.007,99.54,A2356raw13.mat_Line9955
25,12,0,-151.57,0,99.55,A2356raw13.mat_Line9956
25,12,-0,-147.69,-0.001,99.57,A2356raw13.mat_Line9958
25,12,0,-154.5,0,99.65,A2356raw13.mat_Line9966
25,12,0,-146.65,-0.003,100.26,A2356raw13.mat_Line10027
25,12,0,-151.86,-0.001,100.28,A2356raw13.mat_Line10029
25,12,0,-152.68,-0.003,100.29,A2356raw13.mat_Line10030
25,12,0,-151.83,0.004,100.3,A2356raw13.mat_Line10031
25,12,-0,-148.33,-0.01,100.38,A2356raw13.mat_Line10039
25,12,0,-152.98,0.006,100.51,A2356raw13.mat_Line10052
25,12,0,-199.82,0.003,104.09,A2356raw13.mat_Line10410
25,12,0,-191.91,0.003,104.32,A2356raw13.mat_Line10433
25,12,0,-200.75,0.006,105.39,A2356raw13.mat_Line10540
25,12,0,-194.57,-0.004,105.41,A2356raw13.mat_Line10542
25,12,0,-192.54,-0.001,105.43,A2356raw13.mat_Line10544
25,12,0,-200.8,-0.004,105.47,A2356raw13.mat_Line10548
25,12,0,-202.82,-0.01,106.59,A2356raw13.mat_Line10660
25,12,0,-195.7,0.009,107.06,A2356raw13.mat_Line10707
25,12,0,-191.44,0.003,107.08,A2356raw13.mat_Line10709
25,12,0,-240.87,-0.007,109.19,A2356raw13.mat_Line10920
25,12,0,-243.35,0.003,109.2,A2356raw13.mat_Line10921
25,12,0,-245.92,0.006,109.21,A2356raw13.mat_Line10922
25,12,0,-252.48,2.596,13.05,A2356raw14.mat_Line1306
25,12,0,-254.86,2.703,13.06,A2356raw14.mat_Line1307
25,12,0,-258.36,2.917,13.08,A2356raw14.mat_Line1309
25,12,0,-255.56,3.132,13.1,A2356raw14.mat_Line1311
25,12,0,-251.99,3.26,13.11,A2356raw14.mat_Line1312
25,12,0,-248.1,3.364,13.12,A2356raw14.mat_Line1313
25,12,0,-244.29,3.495,13.13,A2356raw14.mat_Line1314
25,12,0,-242.69,3.613,13.14,A2356raw14.mat_Line1315
25,12,0,-243.01,3.733,13.15,A2356raw14.mat_Line1316
25,12,0,-244.67,3.86,13.16,A2356raw14.mat_Line1317
25,12,0,-247.19,3.982,13.17,A2356raw14.mat_Line1318
25,12,0,-249.31,4.469,13.21,A2356raw14.mat_Line1322
25,12,0,-246.95,4.592,13.22,A2356raw14.mat_Line1323
