RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index
25,12,0,-243.51,8.339,13.53,-439.28,A2356raw4.mat_Line1354
25,12,0,-241.7,8.452,13.54,-437.09,A2356raw4.mat_Line1355
25,12,0,-242.37,8.573,13.55,-439.1,A2356raw4.mat_Line1356
25,12,-0,-244.28,8.681,13.56,-442.98,A2356raw4.mat_Line1357
25,12,0,-246.92,8.8,13.57,-448.9,A2356raw4.mat_Line1358
25,12,0,-245.88,9.045,13.58,-566.09,A2356raw6.mat_Line1359
25,12,0,-251.86,9.051,13.59,-458.59,A2356raw4.mat_Line1360
25,12,0,-253.69,9.174,13.6,-460.78,A2356raw4.mat_Line1361
25,12,-0,-253.78,9.277,13.61,-458.43,A2356raw4.mat_Line1362
25,12,0,-251.93,9.4,13.62,-452.22,A2356raw4.mat_Line1363
25,12,0,-249.96,9.522,13.63,-443.81,A2356raw4.mat_Line1364
25,12,0,-246.97,9.646,13.64,-435.72,A2356raw4.mat_Line1365
25,12,0,-244.47,9.768,13.65,-431.98,A2356raw4.mat_Line1366
25,12,0,-248.1,10.004,13.66,-561.61,A2356raw6.mat_Line1367
25,12,0,-245.28,10.004,13.67,-440.37,A2356raw4.mat_Line1368
25,12,0,-247.47,10.126,13.68,-447.68,A2356raw4.mat_Line1369
25,12,0,-249.22,10.248,13.69,-454.54,A2356raw4.mat_Line1370
25,12,0,-251.8,10.367,13.7,-459.22,A2356raw4.mat_Line1371
25,12,0,-247.99,10.609,13.71,-544.03,A2356raw6.mat_Line1372
25,12,0,-253.85,10.597,13.72,-460.3,A2356raw4.mat_Line1373
25,12,0,-252.3,10.716,13.73,-454.84,A2356raw4.mat_Line1374
25,12,0,-250.23,10.848,13.74,-447.22,A2356raw4.mat_Line1375
25,12,0,-247.52,10.961,13.75,-439.89,A2356raw4.mat_Line1376
25,12,0,-245.73,11.074,13.76,-436.16,A2356raw4.mat_Line1377
25,12,0,-244.88,11.186,13.77,-436.46,A2356raw4.mat_Line1378
25,12,0,-246.12,11.3,13.78,-441.13,A2356raw4.mat_Line1379
25,12,0,-247.91,11.399,13.79,-447.68,A2356raw4.mat_Line1380
25,12,0,-249.93,11.495,13.8,-453.15,A2356raw4.mat_Line1381
25,12,0,-252.17,11.592,13.81,-457.18,A2356raw4.mat_Line1382
25,12,-0,-252.92,11.66,13.82,-458.42,A2356raw4.mat_Line1383
25,12,0,-252.87,11.744,13.83,-456.68,A2356raw4.mat_Line1384
25,12,0,-251.25,11.79,13.84,-450.72,A2356raw4.mat_Line1385
25,12,0,-248.74,11.849,13.85,-443.39,A2356raw4.mat_Line1386
25,12,0,-246,11.893,13.86,-438.11,A2356raw4.mat_Line1387
25,12,0,-244.2,11.925,13.87,-436.89,A2356raw4.mat_Line1388
25,12,0,-245.72,11.937,13.88,-440.34,A2356raw4.mat_Line1389
25,12,0,-247.56,11.952,13.89,-448.3,A2356raw4.mat_Line1390
25,12,0,-251.52,11.943,13.9,-458.27,A2356raw4.mat_Line1391
25,12,0,-253.91,11.935,13.91,-466.36,A2356raw4.mat_Line1392
25,12,0,-254.04,11.916,13.92,-469.79,A2356raw4.mat_Line1393
25,12,0,-254.38,11.877,13.93,-469.94,A2356raw4.mat_Line1394
25,12,0,-253.57,11.83,13.94,-466.5,A2356raw4.mat_Line1395
25,12,0,-252.11,11.768,13.95,-461.79,A2356raw4.mat_Line1396
25,12,0,-250.05,11.714,13.96,-454.93,A2356raw4.mat_Line1397
25,12,0,-247.75,11.641,13.97,-445.73,A2356raw4.mat_Line1398
25,12,0,-245.37,11.567,13.98,-438.91,A2356raw4.mat_Line1399
25,12,0,-244.47,11.473,13.99,-434.1,A2356raw4.mat_Line1400
25,12,0,-244.68,11.378,14,-435.04,A2356raw4.mat_Line1401
25,12,0,-245.77,11.273,14.01,-441.45,A2356raw4.mat_Line1402
25,12,0,-247.77,11.171,14.02,-450.95,A2356raw4.mat_Line1403
25,12,0,-250.5,11.041,14.03,-460.29,A2356raw4.mat_Line1404
25,12,0,-252.95,10.932,14.04,-466.66,A2356raw4.mat_Line1405
25,12,0,-254.38,10.805,14.05,-470.55,A2356raw4.mat_Line1406
25,12,0,-255.44,10.689,14.06,-470.55,A2356raw4.mat_Line1407
25,12,0,-253.53,10.563,14.07,-468.35,A2356raw4.mat_Line1408
25,12,0,-250.55,10.43,14.08,-462.44,A2356raw4.mat_Line1409
25,12,0,-247.05,10.308,14.09,-454.2,A2356raw4.mat_Line1410
25,12,0,-244.65,10.178,14.1,-447.82,A2356raw4.mat_Line1411
25,12,0,-243.73,10.046,14.11,-445.97,A2356raw4.mat_Line1412
25,12,0,-249.24,9.798,14.12,-560.88,A2356raw6.mat_Line1413
25,12,0,-245.84,9.797,14.13,-456.69,A2356raw4.mat_Line1414
25,12,0,-247.98,9.674,14.14,-465.42,A2356raw4.mat_Line1415
25,12,0,-250.68,9.572,14.15,-471.8,A2356raw4.mat_Line1416
25,12,0,-252.36,9.45,14.16,-475.69,A2356raw4.mat_Line1417
25,12,0,-253.8,9.34,14.17,-476,A2356raw4.mat_Line1418
25,12,0,-253.46,9.225,14.18,-472.58,A2356raw4.mat_Line1419
25,12,-0,-251.48,9.114,14.19,-465.88,A2356raw4.mat_Line1420
25,12,0,-248.82,9.021,14.2,-458.88,A2356raw4.mat_Line1421
25,12,0,-245.78,8.931,14.21,-454.68,A2356raw4.mat_Line1422
25,12,0,-243.7,8.757,14.22,-570.76,A2356raw6.mat_Line1423
25,12,0,-243.71,8.756,14.23,-458.69,A2356raw4.mat_Line1424
25,12,0,-245.19,8.673,14.24,-465.84,A2356raw4.mat_Line1425
25,12,0,-246.23,8.597,14.25,-473,A2356raw4.mat_Line1426
25,12,0,-248.48,8.525,14.26,-478.44,A2356raw4.mat_Line1427
25,12,0,-250.21,8.435,14.27,-481.39,A2356raw4.mat_Line1428
25,12,0,-252.03,8.371,14.28,-481.69,A2356raw4.mat_Line1429
25,12,0,-252.82,8.285,14.29,-480.75,A2356raw4.mat_Line1430
25,12,0,-251.72,8.185,14.3,-477.93,A2356raw4.mat_Line1431
25,12,0,-248.88,8.127,14.31,-474.67,A2356raw4.mat_Line1432
25,12,0,-246.38,8.041,14.32,-471.71,A2356raw4.mat_Line1433
25,12,0,-244.44,7.948,14.33,-468.91,A2356raw4.mat_Line1434
25,12,0,-243.56,7.874,14.34,-469.23,A2356raw4.mat_Line1435
25,12,-0,-244.69,7.786,14.35,-472.01,A2356raw4.mat_Line1436
25,12,0,-245.5,7.696,14.36,-478.23,A2356raw4.mat_Line1437
25,12,0,-247.34,7.607,14.37,-484.76,A2356raw4.mat_Line1438
25,12,0,-249.3,7.529,14.38,-489.9,A2356raw4.mat_Line1439
25,12,0,-244.2,7.343,14.39,-597.24,A2356raw6.mat_Line1440
25,12,0,-252,7.357,14.4,-494.56,A2356raw4.mat_Line1441
25,12,0,-251.56,7.252,14.41,-493.31,A2356raw4.mat_Line1442
25,12,0,-250.23,7.164,14.42,-489.43,A2356raw4.mat_Line1443
25,12,0,-247.73,7.071,14.43,-484.91,A2356raw4.mat_Line1444
25,12,0,-245.68,6.98,14.44,-481.33,A2356raw4.mat_Line1445
25,12,0,-244.04,6.903,14.45,-480.56,A2356raw4.mat_Line1446
25,12,0,-248.33,6.73,14.46,-600.56,A2356raw6.mat_Line1447
25,12,0,-250.19,6.65,14.47,-604.15,A2356raw6.mat_Line1448
25,12,0,-246.49,6.657,14.48,-493.62,A2356raw4.mat_Line1449
25,12,0,-248.32,6.569,14.49,-498.28,A2356raw4.mat_Line1450
25,12,0,-249.4,6.498,14.5,-501.4,A2356raw4.mat_Line1451
25,12,-0,-250.82,6.416,14.51,-503.56,A2356raw4.mat_Line1452
25,12,0,-251.12,6.339,14.52,-503.4,A2356raw4.mat_Line1453
25,12,0,-249.18,6.27,14.53,-501.07,A2356raw4.mat_Line1454
25,12,0,-247.52,6.193,14.54,-497.17,A2356raw4.mat_Line1455
25,12,0,-244.9,6.123,14.55,-493.9,A2356raw4.mat_Line1456
25,12,0,-243.25,6.047,14.56,-492.95,A2356raw4.mat_Line1457
25,12,0,-243.23,5.957,14.57,-494.64,A2356raw4.mat_Line1458
25,12,0,-256.96,5.811,14.58,-590.54,A2356raw6.mat_Line1459
25,12,0,-245.63,5.825,14.59,-503.2,A2356raw4.mat_Line1460
25,12,0,-247.17,5.739,14.6,-507.25,A2356raw4.mat_Line1461
25,12,0,-249.36,5.653,14.61,-510.06,A2356raw4.mat_Line1462
25,12,0,-251.17,5.58,14.62,-511.15,A2356raw4.mat_Line1463
25,12,0,-251.62,5.497,14.63,-511,A2356raw4.mat_Line1464
25,12,0,-251.4,5.423,14.64,-508.05,A2356raw4.mat_Line1465
25,12,0,-249.42,5.328,14.65,-504.16,A2356raw4.mat_Line1466
25,12,0,-246.79,5.239,14.66,-500.11,A2356raw4.mat_Line1467
25,12,0,-245.38,5.16,14.67,-497.01,A2356raw4.mat_Line1468
25,12,0,-244.9,5.082,14.68,-496.23,A2356raw4.mat_Line1469
25,12,0,-245.89,5,14.69,-497.64,A2356raw4.mat_Line1470
25,12,0,-247.36,4.92,14.7,-500.6,A2356raw4.mat_Line1471
25,12,0,-250.04,4.83,14.71,-504.02,A2356raw4.mat_Line1472
25,12,0,-252.02,4.758,14.72,-506.52,A2356raw4.mat_Line1473
25,12,0,-254.11,4.661,14.73,-508.09,A2356raw4.mat_Line1474
25,12,0,-255.47,4.578,14.74,-507.78,A2356raw4.mat_Line1475
25,12,0,-255.27,4.512,14.75,-505.46,A2356raw4.mat_Line1476
25,12,-0,-254.06,4.423,14.76,-501.09,A2356raw4.mat_Line1477
25,12,0,-251.21,4.357,14.77,-495.2,A2356raw4.mat_Line1478
25,12,0,-249.34,4.267,14.78,-489.6,A2356raw4.mat_Line1479
25,12,0,-249.54,4.2,14.79,-486.03,A2356raw4.mat_Line1480
25,12,0,-250.02,4.131,14.8,-484.17,A2356raw4.mat_Line1481
25,12,0,-272.99,3.965,14.81,-513.27,A2356raw6.mat_Line1482
25,12,-0,-254.25,3.959,14.82,-487,A2356raw4.mat_Line1483
25,12,0,-256.86,3.882,14.83,-489.51,A2356raw4.mat_Line1484
25,12,0,-259.76,3.826,14.84,-490.62,A2356raw4.mat_Line1485
25,12,0,-260.98,3.74,14.85,-490.32,A2356raw4.mat_Line1486
25,12,0,-260.37,3.664,14.86,-487.37,A2356raw4.mat_Line1487
25,12,0,-258.82,3.568,14.87,-481.91,A2356raw4.mat_Line1488
25,12,0,-257.44,3.495,14.88,-475.23,A2356raw4.mat_Line1489
25,12,0,-255.16,3.419,14.89,-467.93,A2356raw4.mat_Line1490
25,12,0,-270.75,3.25,14.9,-458.2,A2356raw6.mat_Line1491
25,12,0,-256.16,3.252,14.91,-456.92,A2356raw4.mat_Line1492
25,12,0,-275.67,3.091,14.92,-447.37,A2356raw6.mat_Line1493
25,12,0,-277.54,3.011,14.93,-441.49,A2356raw6.mat_Line1494
25,12,0,-265.13,3.006,14.94,-451.28,A2356raw4.mat_Line1495
25,12,0,-267.86,2.915,14.95,-449.12,A2356raw4.mat_Line1496
25,12,0,-269.57,2.852,14.96,-445.42,A2356raw4.mat_Line1497
25,12,0,-269.94,2.779,14.97,-439.83,A2356raw4.mat_Line1498
25,12,-0,-268.45,2.698,14.98,-432.99,A2356raw4.mat_Line1499
25,12,0,-266.49,2.626,14.99,-424.29,A2356raw4.mat_Line1500
25,12,0,-263.91,2.542,15,-415.75,A2356raw4.mat_Line1501
25,12,0,-271.47,2.378,15.01,-376.47,A2356raw6.mat_Line1502
25,12,0,-264.49,2.388,15.02,-398.87,A2356raw4.mat_Line1503
25,12,0,-266.68,2.288,15.03,-391.27,A2356raw4.mat_Line1504
25,12,0,-269.27,2.205,15.04,-384.63,A2356raw4.mat_Line1505
25,12,0,-272.28,2.129,15.05,-378.13,A2356raw4.mat_Line1506
25,12,0,-275.63,2.051,15.06,-371.32,A2356raw4.mat_Line1507
25,12,0,-274.43,1.877,15.07,-329.98,A2356raw6.mat_Line1508
25,12,0,-271.33,1.813,15.08,-319.72,A2356raw6.mat_Line1509
25,12,0,-268.52,1.723,15.09,-308.54,A2356raw6.mat_Line1510
25,12,0,-267.08,1.642,15.1,-297.21,A2356raw6.mat_Line1511
25,12,0,-269.51,1.651,15.11,-326.63,A2356raw4.mat_Line1512
25,12,0,-266.92,1.571,15.12,-315.29,A2356raw4.mat_Line1513
25,12,0,-266.15,1.505,15.13,-303.66,A2356raw4.mat_Line1514
25,12,0,-267.15,1.408,15.14,-292.79,A2356raw4.mat_Line1515
25,12,0,-269.3,1.329,15.15,-282.09,A2356raw4.mat_Line1516
25,12,0,-273.68,1.173,15.16,-242.79,A2356raw6.mat_Line1517
25,12,0,-272.29,1.094,15.17,-233.65,A2356raw6.mat_Line1518
25,12,0,-269.53,1.012,15.18,-223.08,A2356raw6.mat_Line1519
25,12,0,-275.66,1.01,15.19,-245.21,A2356raw4.mat_Line1520
25,12,0,-273.87,0.914,15.2,-234.5,A2356raw4.mat_Line1521
25,12,0,-270.47,0.846,15.21,-222.71,A2356raw4.mat_Line1522
25,12,-0,-265.02,0.758,15.22,-209.49,A2356raw4.mat_Line1523
25,12,0,-259.36,0.613,15.23,-164.98,A2356raw6.mat_Line1524
25,12,0,-261.58,0.443,15.25,-146.86,A2356raw6.mat_Line1526
25,12,0,-263.04,0.368,15.26,-138.5,A2356raw6.mat_Line1527
25,12,0,-263.92,0.365,15.27,-146.49,A2356raw4.mat_Line1528
25,12,0,-266.72,0.289,15.28,-136.58,A2356raw4.mat_Line1529
25,12,0,-259.84,0.136,15.29,-107.62,A2356raw6.mat_Line1530
25,12,0,-256.41,0.06,15.3,-95.18,A2356raw6.mat_Line1531
25,12,0,-253.19,-0.017,15.31,-81.81,A2356raw6.mat_Line1532
