RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,FY
25,12,0,-249.27,10.365,13.7,-591.78,A2356raw15.mat_Line1371,-588.835027858827
25,12,0,-242.77,10.484,13.71,-384.34,A2356raw14.mat_Line1372,-572.130687623729
25,12,0,-246.12,10.617,13.72,-392.73,A2356raw14.mat_Line1373,-580.654083343195
25,12,0,-249.59,10.719,13.73,-404.55,A2356raw14.mat_Line1374,-589.51618356324
25,12,0,-253.22,10.841,13.74,-416.53,A2356raw14.mat_Line1375,-598.802344169279
25,12,0,-254.69,10.957,13.75,-425.39,A2356raw14.mat_Line1376,-602.543791477755
25,12,0,-244.02,11.077,13.76,-546.43,A2356raw15.mat_Line1377,-575.109158091034
25,12,0,-253.86,11.194,13.77,-422.44,A2356raw14.mat_Line1378,-600.318982955818
25,12,0,-250.32,11.305,13.78,-411.7,A2356raw14.mat_Line1379,-591.177308641824
25,12,0,-246.88,11.392,13.79,-398.16,A2356raw14.mat_Line1380,-582.323325855768
25,12,0,-243.68,11.495,13.8,-387.74,A2356raw14.mat_Line1381,-574.099295628157
25,12,0,-241.99,11.591,13.81,-383.41,A2356raw14.mat_Line1382,-569.750534797948
25,12,0,-244.55,11.737,13.83,-391.48,A2356raw14.mat_Line1384,-576.247312472011
25,12,0,-248.02,11.788,13.84,-398.43,A2356raw14.mat_Line1385,-585.116682965026
25,12,0,-251.21,11.844,13.85,-406.32,A2356raw14.mat_Line1386,-593.285126004863
25,12,0,-254.21,11.889,13.86,-415.18,A2356raw14.mat_Line1387,-600.984866382851
25,12,0,-255.71,11.93,13.87,-423.6,A2356raw14.mat_Line1388,-604.834438786075
25,12,0,-256.06,11.939,13.88,-427.83,A2356raw14.mat_Line1389,-605.733386750859
25,12,0,-254.5,11.965,13.89,-426.32,A2356raw14.mat_Line1390,-601.707282106526
25,12,0,-253.48,11.955,13.9,-419.97,A2356raw14.mat_Line1391,-599.085598321768
25,12,0,-250.44,11.939,13.91,-410.83,A2356raw14.mat_Line1392,-591.277979536492
25,12,0,-247.72,11.909,13.92,-402.28,A2356raw14.mat_Line1393,-584.310185508909
25,12,0,-245.9,11.873,13.93,-396.82,A2356raw14.mat_Line1394,-579.659663307361
25,12,0,-245.64,11.83,13.94,-395.85,A2356raw14.mat_Line1395,-579.007363690531
25,12,0,-247.61,11.778,13.95,-399.24,A2356raw14.mat_Line1396,-584.068921741496
25,12,-0,-250.69,11.711,13.96,-405.73,A2356raw14.mat_Line1397,-591.991956327249
25,12,0,-252.65,11.645,13.97,-414.42,A2356raw14.mat_Line1398,-597.050435514144
25,12,-0,-254.89,11.554,13.98,-421.42,A2356raw14.mat_Line1399,-602.845651555738
25,12,0,-254.96,11.475,13.99,-423.47,A2356raw14.mat_Line1400,-603.05289504905
25,12,0,-252.53,11.372,14,-418.98,A2356raw14.mat_Line1401,-596.833949089282
25,12,0,-249.56,11.272,14.01,-410.31,A2356raw14.mat_Line1402,-589.237349970465
