RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,SourceFile
25,12,4,-259.64,6.135,756.183,-468.09,17957,LC0_FZ_250_IA-4_filtered
25,12,4,-259.37,5.25,756.403,-425.08,17979,LC0_FZ_250_IA-4_filtered
25,12,4,-258.4,7.495,755.843,-523.17,17923,LC0_FZ_250_IA-4_filtered
25,12,4,-258.04,3.876,756.753,-342.83,18014,LC0_FZ_250_IA-4_filtered
25,12,4,-257.82,6.607,756.063,-486.87,17945,LC0_FZ_250_IA-4_filtered
25,12,4,-257.56,-6.202,762.413,464.13,18580,LC0_FZ_250_IA-4_filtered
25,12,4,-257.38,-5.68,762.543,452.32,18593,LC0_FZ_250_IA-4_filtered
25,12,4,-257.24,3.83,756.763,-341.02,18015,LC0_FZ_250_IA-4_filtered
25,12,4,-257.23,7.906,755.733,-537.23,17912,LC0_FZ_250_IA-4_filtered
25,12,4,-257.13,6.044,756.203,-466.4,17959,LC0_FZ_250_IA-4_filtered
25,12,4,-257.1,6.974,755.973,-505.39,17936,LC0_FZ_250_IA-4_filtered
25,12,4,-257.04,-5.699,762.533,452.29,18592,LC0_FZ_250_IA-4_filtered
25,12,4,-256.99,-7.957,761.973,510.38,18536,LC0_FZ_250_IA-4_filtered
25,12,4,-256.93,7.973,755.723,-535.38,17911,LC0_FZ_250_IA-4_filtered
25,12,4,-256.63,-8.824,761.753,528.07,18514,LC0_FZ_250_IA-4_filtered
25,12,4,-256.19,4.683,756.543,-400.11,17993,LC0_FZ_250_IA-4_filtered
25,12,4,-256.19,-9.31,761.633,533.17,18502,LC0_FZ_250_IA-4_filtered
25,12,4,-256.15,-8.027,761.953,507.38,18534,LC0_FZ_250_IA-4_filtered
25,12,4,-255.88,-8.804,761.763,525.22,18515,LC0_FZ_250_IA-4_filtered
25,12,4,-255.53,-6.527,762.333,473.46,18572,LC0_FZ_250_IA-4_filtered
25,12,4,-255.47,-7.167,762.173,484.8,18556,LC0_FZ_250_IA-4_filtered
25,12,4,-255.03,-8.954,761.723,523.45,18511,LC0_FZ_250_IA-4_filtered
25,12,4,-254.56,1.975,757.223,-168.27,18061,LC0_FZ_250_IA-4_filtered
25,12,4,-254.06,-8.988,761.713,519.19,18510,LC0_FZ_250_IA-4_filtered
25,12,4,-253.7,-8.272,761.893,510.48,18528,LC0_FZ_250_IA-4_filtered
25,12,4,-253.62,-10.175,761.413,537.35,18480,LC0_FZ_250_IA-4_filtered
25,12,4,-253.58,-6.426,762.353,466.19,18574,LC0_FZ_250_IA-4_filtered
25,12,4,-253.49,-9.851,761.493,530.67,18488,LC0_FZ_250_IA-4_filtered
25,12,4,-253.49,-8.1,761.933,501.76,18532,LC0_FZ_250_IA-4_filtered
25,12,4,-253.16,-5.945,762.473,451.4,18586,LC0_FZ_250_IA-4_filtered
25,12,4,-253.08,-10.139,761.423,534.68,18481,LC0_FZ_250_IA-4_filtered
25,12,4,-253.04,-9.067,761.693,515.71,18508,LC0_FZ_250_IA-4_filtered
25,12,4,-252.96,2.016,751.974,-186.86,17536,LC0_FZ_250_IA-4_filtered
25,12,4,-252.66,-7.306,762.133,486.32,18552,LC0_FZ_250_IA-4_filtered
25,12,4,-252.64,-7.34,762.123,489.58,18551,LC0_FZ_250_IA-4_filtered
25,12,4,-252.6,-9.121,761.683,517.23,18507,LC0_FZ_250_IA-4_filtered
25,12,4,-252.6,-7.782,762.013,497.51,18540,LC0_FZ_250_IA-4_filtered
25,12,4,-252.48,-8.141,761.923,501.38,18531,LC0_FZ_250_IA-4_filtered
25,12,4,-252.46,-12.144,760.833,554.21,18422,LC0_FZ_250_IA-4_filtered
25,12,4,-252.44,-7.268,762.143,483.67,18553,LC0_FZ_250_IA-4_filtered
25,12,4,-252.34,11.518,754.823,-595.31,17821,LC0_FZ_250_IA-4_filtered
25,12,4,-252.22,1.953,757.233,-164.38,18062,LC0_FZ_250_IA-4_filtered
25,12,4,-252.07,-11.948,760.943,553.57,18433,LC0_FZ_250_IA-4_filtered
25,12,4,-252.04,9.637,755.303,-568.94,17869,LC0_FZ_250_IA-4_filtered
25,12,4,-252.02,-11.872,760.963,549.52,18435,LC0_FZ_250_IA-4_filtered
25,12,4,-251.96,-10.724,761.273,540.67,18466,LC0_FZ_250_IA-4_filtered
25,12,4,-251.82,-9.488,761.583,519.67,18497,LC0_FZ_250_IA-4_filtered
25,12,4,-251.81,-12.15,760.843,552.3,18423,LC0_FZ_250_IA-4_filtered
25,12,4,-251.76,6.868,755.993,-498.12,17938,LC0_FZ_250_IA-4_filtered
25,12,4,-251.68,-11.986,760.933,552.93,18432,LC0_FZ_250_IA-4_filtered
25,12,4,-251.67,-10.088,761.433,531.32,18482,LC0_FZ_250_IA-4_filtered
25,12,4,-251.65,6.732,756.033,-483.51,17942,LC0_FZ_250_IA-4_filtered
25,12,4,-251.4,-12.142,760.853,548.23,18424,LC0_FZ_250_IA-4_filtered
25,12,4,-251.38,-11.008,761.203,538.14,18459,LC0_FZ_250_IA-4_filtered
25,12,4,-251.23,10.076,755.193,-573.49,17858,LC0_FZ_250_IA-4_filtered
25,12,4,-251.15,5.052,756.453,-416.43,17984,LC0_FZ_250_IA-4_filtered
25,12,4,-250.97,-10.779,761.263,537.19,18465,LC0_FZ_250_IA-4_filtered
25,12,4,-250.87,9.395,755.363,-557.36,17875,LC0_FZ_250_IA-4_filtered
25,12,4,-250.82,-11.473,760.593,550.71,18398,LC0_FZ_250_IA-4_filtered
25,12,4,-250.82,-11.85,760.973,546.03,18436,LC0_FZ_250_IA-4_filtered
25,12,4,-250.81,8.25,755.653,-539.2,17904,LC0_FZ_250_IA-4_filtered
25,12,4,-250.64,0.738,757.533,-33.31,18092,LC0_FZ_250_IA-4_filtered
25,12,4,-250.39,-10.958,761.213,534.49,18460,LC0_FZ_250_IA-4_filtered
25,12,4,-250.37,-2.376,758.313,289.79,18170,LC0_FZ_250_IA-4_filtered
25,12,4,-250.37,-11.424,761.093,541.03,18448,LC0_FZ_250_IA-4_filtered
25,12,4,-250.2,1.719,757.293,-139.78,18068,LC0_FZ_250_IA-4_filtered
25,12,4,-250.17,7.203,755.913,-500.54,17930,LC0_FZ_250_IA-4_filtered
25,12,4,-250.17,-11.999,760.923,549.71,18431,LC0_FZ_250_IA-4_filtered
25,12,4,-250.14,-2.839,758.433,325.67,18182,LC0_FZ_250_IA-4_filtered
25,12,4,-250.03,9.592,755.313,-563,17870,LC0_FZ_250_IA-4_filtered
25,12,4,-250,10.031,755.203,-567.05,17859,LC0_FZ_250_IA-4_filtered
25,12,4,-249.91,12.16,754.613,-590.48,17800,LC0_FZ_250_IA-4_filtered
25,12,4,-249.89,-11.212,761.143,538.05,18453,LC0_FZ_250_IA-4_filtered
25,12,4,-249.88,-10.399,761.353,526.85,18474,LC0_FZ_250_IA-4_filtered
25,12,4,-249.86,-2.51,758.353,306.85,18174,LC0_FZ_250_IA-4_filtered
25,12,4,-249.74,8.691,755.543,-545.93,17893,LC0_FZ_250_IA-4_filtered
25,12,4,-249.7,-1.571,758.113,226.95,18150,LC0_FZ_250_IA-4_filtered
25,12,4,-249.64,4.989,756.463,-412.04,17985,LC0_FZ_250_IA-4_filtered
25,12,4,-249.62,6.338,756.133,-468.11,17952,LC0_FZ_250_IA-4_filtered
25,12,4,-249.59,11.114,754.253,-605.44,17764,LC0_FZ_250_IA-4_filtered
25,12,4,-249.59,6.371,756.123,-471.67,17951,LC0_FZ_250_IA-4_filtered
25,12,4,-249.53,-6.1,759.243,494.42,18263,LC0_FZ_250_IA-4_filtered
25,12,4,-249.5,10.927,754.973,-576.4,17836,LC0_FZ_250_IA-4_filtered
25,12,4,-249.49,-10.924,761.223,531.64,18461,LC0_FZ_250_IA-4_filtered
25,12,4,-249.39,-0.236,757.773,81.3,18116,LC0_FZ_250_IA-4_filtered
25,12,4,-249.28,-3.804,758.673,389.81,18206,LC0_FZ_250_IA-4_filtered
25,12,4,-249.26,-7.927,759.703,521.56,18309,LC0_FZ_250_IA-4_filtered
25,12,4,-249.2,-6.887,759.443,504.16,18283,LC0_FZ_250_IA-4_filtered
25,12,4,-249.17,-9.681,760.143,545.32,18353,LC0_FZ_250_IA-4_filtered
25,12,4,-249.16,-8.824,759.923,533.05,18331,LC0_FZ_250_IA-4_filtered
25,12,4,-249.14,-3.857,758.683,392.75,18207,LC0_FZ_250_IA-4_filtered
25,12,4,-249.07,-6.135,759.253,493.92,18264,LC0_FZ_250_IA-4_filtered
25,12,4,-249,-0.675,757.883,132.55,18127,LC0_FZ_250_IA-4_filtered
25,12,4,-248.97,-3.294,758.543,354.21,18193,LC0_FZ_250_IA-4_filtered
25,12,4,-248.96,-6.056,759.233,492.2,18262,LC0_FZ_250_IA-4_filtered
25,12,4,-248.96,-11.09,760.493,551.35,18388,LC0_FZ_250_IA-4_filtered
25,12,4,-248.95,-10.873,761.233,530.2,18462,LC0_FZ_250_IA-4_filtered
25,12,4,-248.89,10.352,755.123,-568.51,17851,LC0_FZ_250_IA-4_filtered
25,12,4,-248.87,10.472,755.093,-570.85,17848,LC0_FZ_250_IA-4_filtered
25,12,4,-248.86,-11.427,760.583,547.32,18397,LC0_FZ_250_IA-4_filtered
25,12,4,-248.82,-10.641,760.383,550.27,18377,LC0_FZ_250_IA-4_filtered
25,12,4,-248.77,3.174,756.923,-285.16,18031,LC0_FZ_250_IA-4_filtered
25,12,4,-248.74,-10.566,760.363,548.4,18375,LC0_FZ_250_IA-4_filtered
25,12,4,-248.6,-4.307,758.793,417.27,18218,LC0_FZ_250_IA-4_filtered
25,12,4,-248.51,7.236,755.903,-502.66,17929,LC0_FZ_250_IA-4_filtered
25,12,4,-248.48,7.735,755.783,-518.04,17917,LC0_FZ_250_IA-4_filtered
25,12,4,-248.39,-1.506,758.093,216.92,18148,LC0_FZ_250_IA-4_filtered
25,12,4,-248.34,-2.336,758.303,285.77,18169,LC0_FZ_250_IA-4_filtered
25,12,4,-248.34,-8.4,759.823,524.91,18321,LC0_FZ_250_IA-4_filtered
25,12,4,-248.21,-5.074,758.993,450.2,18238,LC0_FZ_250_IA-4_filtered
25,12,4,-248.18,-11.692,760.763,541.19,18415,LC0_FZ_250_IA-4_filtered
25,12,4,-248.03,-11.689,760.773,539.62,18416,LC0_FZ_250_IA-4_filtered
25,12,4,-248,10.196,754.023,-600.11,17741,LC0_FZ_250_IA-4_filtered
25,12,4,-247.95,-8.839,759.933,531.87,18332,LC0_FZ_250_IA-4_filtered
25,12,4,-247.94,-11.16,760.513,544.91,18390,LC0_FZ_250_IA-4_filtered
25,12,4,-247.68,-1.675,758.133,235.22,18152,LC0_FZ_250_IA-4_filtered
25,12,4,-247.67,-7.519,759.603,513.68,18299,LC0_FZ_250_IA-4_filtered
25,12,4,-247.65,-6.413,759.323,491.95,18271,LC0_FZ_250_IA-4_filtered
25,12,4,-247.62,-11.746,761.003,538.36,18439,LC0_FZ_250_IA-4_filtered
25,12,4,-247.57,-1.156,758.013,186.87,18140,LC0_FZ_250_IA-4_filtered
25,12,4,-247.53,-3.423,758.573,366.38,18196,LC0_FZ_250_IA-4_filtered
25,12,4,-247.47,-6.634,759.383,497.98,18277,LC0_FZ_250_IA-4_filtered
25,12,4,-247.46,-5.686,759.143,478.59,18253,LC0_FZ_250_IA-4_filtered
25,12,4,-246.97,9.725,753.904,-593.18,17729,LC0_FZ_250_IA-4_filtered
25,12,4,-246.96,-9.776,760.163,544.24,18355,LC0_FZ_250_IA-4_filtered
25,12,4,-246.93,2.247,757.153,-197.48,18054,LC0_FZ_250_IA-4_filtered
25,12,4,-246.91,10.73,754.154,-598.15,17754,LC0_FZ_250_IA-4_filtered
25,12,4,-246.88,10.124,754.003,-598,17739,LC0_FZ_250_IA-4_filtered
25,12,4,-246.87,10.241,754.034,-596.79,17742,LC0_FZ_250_IA-4_filtered
25,12,4,-246.69,-4.61,758.873,426.01,18226,LC0_FZ_250_IA-4_filtered
25,12,4,-246.66,-6.238,759.283,485.35,18267,LC0_FZ_250_IA-4_filtered
25,12,4,-246.56,-6.362,759.313,487.05,18270,LC0_FZ_250_IA-4_filtered
25,12,4,-246.55,-11.281,760.543,535.34,18393,LC0_FZ_250_IA-4_filtered
25,12,4,-246.54,-10.493,760.343,539.23,18373,LC0_FZ_250_IA-4_filtered
25,12,4,-246.46,-8.011,759.723,516.23,18311,LC0_FZ_250_IA-4_filtered
25,12,4,-246.35,-9.361,760.063,535.19,18345,LC0_FZ_250_IA-4_filtered
25,12,4,-246.29,-11.357,760.563,538.28,18395,LC0_FZ_250_IA-4_filtered
25,12,4,-246.2,-11.239,760.533,537.64,18392,LC0_FZ_250_IA-4_filtered
25,12,4,-246.08,12.062,754.663,-580.94,17805,LC0_FZ_250_IA-4_filtered
25,12,4,-246.06,-2.171,758.263,278,18165,LC0_FZ_250_IA-4_filtered
