AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.97,244.89,-7.76,-16.43,-247.55,0.01,-2.38,4.87,0.09,0.0313,0.0664,12,44352.09,7.56,91.48,0.08,-0,-0.9998,119.37,124.13,122.78,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",1
79,244.9,-8.78,-20.61,-247.08,0.007,-1.26,6.62,0.09,0.0355,0.0834,11.99,44341.66,7.56,91.48,0.106,-0,-0.9998,119.46,124.02,122.74,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2
79,244.91,-9.88,-26.22,-248.41,0.016,-0.84,8.08,0.09,0.0398,0.1055,11.92,44351.7,7.56,91.48,0.152,-0,-0.9998,119.52,123.98,122.74,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3
78.97,244.92,-10.94,-33.07,-250.27,0.014,-2.09,9.09,0.03,0.0437,0.1321,11.83,159939.08,7.56,91.43,0.206,-0,-1,119.61,123.82,122.8,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",4
78.99,244.93,-11.62,-40.4,-253.97,0.022,-2.49,9.36,0.03,0.0458,0.1591,11.81,159975.41,7.56,91.37,0.241,-0,-1,119.72,123.8,122.78,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5
79.01,244.94,-11.82,-47.7,-256.26,0.009,-3.42,9.36,0.09,0.0461,0.1861,11.81,44340.55,7.56,91.34,0.279,-0,-0.9998,119.69,123.73,122.76,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",6
78.99,244.95,-10.84,-55.02,-258.1,0.019,-4.03,9.78,0.09,0.042,0.2132,11.87,44360.7,7.56,91.31,0.337,-0,-0.9998,119.67,123.65,122.76,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7
78.97,244.96,-9.93,-61.06,-257.54,0.017,-3.91,9.52,0.03,0.0386,0.2371,11.95,160157.28,7.56,91.29,0.378,-0,-1,119.69,123.65,122.74,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8
79,244.97,-9.21,-65.66,-255.37,0.001,-2.33,8.86,0.09,0.0361,0.2571,12.01,44401.28,7.57,91.27,0.405,-0,-0.9998,119.65,123.6,122.72,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9
79.01,244.98,-8.47,-69.84,-251.92,0.022,-1.54,8.85,0.09,0.0336,0.2772,11.96,44421.34,7.56,91.28,0.461,-0,-0.9998,119.59,123.47,122.7,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",10
