AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.72,313,-1.36,-239.69,-194.65,0.006,6.13,21.53,0.03,0.007,1.2314,12.23,160060.42,7.67,91.71,2.195,-0,-1,120.51,122.61,123.77,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2546
78.69,313.01,-2.95,-242.02,-194.52,0.01,6.84,21.89,0.09,0.0152,1.2442,12.19,44352.43,7.67,91.68,2.245,-0,-0.9998,120.53,122.63,123.97,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2547
78.67,313.02,-4.87,-245.58,-195.25,0.001,6.6,22.04,0.03,0.0249,1.2578,12.1,160162.12,7.67,91.65,2.275,-0,-1,120.64,122.68,124.11,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2548
78.7,313.03,-6.47,-249.96,-197.36,0.01,6.72,22.53,0.03,0.0328,1.2665,12,160194.84,7.67,91.63,2.311,-0,-1,120.66,122.66,124.21,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2549
78.71,313.04,-7.25,-254.45,-199.25,-0.002,6.51,22.58,0.16,0.0364,1.277,11.96,25770.62,7.67,91.61,2.358,-0,-0.9997,120.7,122.63,124.35,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2550
78.67,313.05,-6.85,-259.29,-200.9,0.006,5.81,22.85,0.03,0.0341,1.2906,11.97,160073.86,7.67,91.62,2.386,-0,-1,120.7,122.7,124.46,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2551
78.69,313.06,-5.63,-263.3,-201.98,-0.006,6.37,22.68,0.09,0.0279,1.3036,12.05,44305.2,7.67,91.64,2.419,-0,-0.9998,120.72,122.77,124.56,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2552
78.71,313.07,-3.93,-266.9,-201.02,0.012,5.77,22.42,0.09,0.0195,1.3277,12.1,44283.28,7.67,91.64,2.457,-0,-0.9998,120.68,122.72,124.64,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2553
78.69,313.08,-2.15,-268.59,-198.54,0.014,5.8,22.09,0.09,0.0108,1.3528,12.11,44302.12,7.67,91.62,2.504,-0,-0.9998,120.62,122.74,124.72,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2554
78.67,313.09,-1.65,-269.49,-195.4,0.01,5.88,20.74,0.03,0.0084,1.3792,12.06,160017.12,7.67,91.64,2.535,-0,-1,120.57,122.77,124.82,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2555
78.7,313.1,-1.3,-269.91,-193.05,0.003,6.97,20.4,0.09,0.0068,1.3981,12,44361.48,7.67,91.61,2.567,-0,-0.9998,120.51,122.74,124.8,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",2556
