AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.2,447.8,-6.5,-61.21,-107.07,0.009,-3.84,1.04,0.03,0.0607,0.5717,12.1,160485.05,7.84,91.54,0.647,-0,-1,123.13,123.6,125.14,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7491
78.19,447.81,-5.45,-64.59,-106.44,0.004,-2.72,0.24,0.09,0.0512,0.6068,12.15,44460.94,7.85,91.56,0.691,-0,-0.9998,123.17,123.51,125.18,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7492
78.16,447.82,-4.57,-67.55,-103.75,0.013,-3.18,-0.01,-0.04,0.0441,0.6511,12.14,-99643.05,7.84,91.59,0.737,-0,-1.0001,123.08,123.51,125.16,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7493
78.2,447.83,-4.52,-70.79,-101.54,0.012,-3.63,0.06,-0.04,0.0445,0.6972,12.1,-99549.74,7.84,91.63,0.769,-0,-1.0001,122.98,123.45,125.16,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7494
78.21,447.84,-5.21,-73.44,-101.49,0.017,-1.91,0.52,0.03,0.0514,0.7236,12,159995.16,7.84,91.64,0.799,-0,-1,123,123.45,125.2,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7495
78.17,447.85,-5.93,-76.99,-101.47,0.012,-2.14,1.87,0.09,0.0584,0.7588,11.93,44335.24,7.84,91.68,0.855,-0,-0.9998,123.02,123.49,125.28,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7496
78.18,447.86,-7.14,-81.01,-103.19,0.003,-2.01,3.21,0.09,0.0692,0.785,11.93,44324.65,7.85,91.72,0.875,-0,-0.9998,123.06,123.58,125.38,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7497
78.2,447.87,-7.61,-85.1,-105.65,0.013,-2.5,5.09,-0.04,0.0721,0.8055,11.98,-99452.66,7.85,91.74,0.918,-0,-1.0001,123.11,123.6,125.45,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7498
78.2,447.88,-7.26,-89.28,-107.96,0.001,-3.24,6.83,0.03,0.0673,0.827,12.08,159950.25,7.85,91.79,0.948,-0,-1,123.13,123.62,125.57,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7499
78.17,447.89,-6.24,-92.84,-110.42,-0.006,-3.13,8.1,0.03,0.0565,0.8408,12.14,159874,7.85,91.82,0.982,-0,-1,123.11,123.56,125.61,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7500
78.2,447.9,-4.52,-96.15,-111.54,0.007,-3.57,9.17,0.03,0.0405,0.862,12.12,159835.36,7.85,91.83,1.008,-0,-1,123.06,123.49,125.61,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7501
78.21,447.91,-2.13,-99.26,-112.26,0.01,-2.88,10.03,0.09,0.0189,0.8842,12.08,44280.53,7.85,91.86,1.062,-0,-0.9998,123.04,123.49,125.71,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7502
78.18,447.92,-0.05,-101.39,-110.61,0.004,-2.86,10.58,0.03,0.0004,0.9167,12,159830.06,7.85,91.85,1.095,-0,-1,122.98,123.45,125.71,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7503
78.18,447.93,1.37,-103.23,-108.39,0.003,-2.65,10.69,0.03,-0.0127,0.9524,11.97,159902.36,7.85,91.84,1.127,-0,-1,122.91,123.4,125.69,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7504
78.2,447.94,2.06,-104.48,-105.46,0.01,-2.93,10.9,-0.04,-0.0195,0.9907,11.98,-99442.92,7.85,91.84,1.177,-0,-1.0001,122.83,123.36,125.69,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7505
78.2,447.95,2.45,-105.73,-103.7,0.017,-2.48,11.68,0.03,-0.0236,1.0196,12.03,159933.22,7.85,91.84,1.221,-0,-1,122.74,123.36,125.69,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7506
78.18,447.96,0.47,-107.41,-102.01,0.012,-2.93,11.07,0.03,-0.0046,1.0529,12.07,160005.34,7.85,91.84,1.253,-0,-1,122.74,123.32,125.75,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7507
78.18,447.97,-0.75,-109.55,-102.21,0.001,-2.71,11.76,0.09,0.0073,1.0718,12.08,44368.95,7.85,91.82,1.291,-0,-0.9998,122.76,123.36,125.81,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7508
78.21,447.98,-2.59,-112.22,-103.51,0.007,-2.67,11.96,-0.04,0.025,1.0842,12.04,-99528.26,7.85,91.81,1.337,-0,-1.0001,122.78,123.32,125.89,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7509
78.2,447.99,-4.25,-115.15,-105.73,-0,-1.88,11.31,0.09,0.0402,1.0891,11.98,44377.65,7.86,91.81,1.369,-0,-0.9998,122.76,123.25,125.87,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7510
78.17,448,-4.92,-118.46,-108.82,0.013,-0.76,10.53,0.03,0.0452,1.0886,11.96,160103.62,7.85,91.82,1.429,-0,-1,122.8,123.25,125.91,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7511
78.2,448.01,-5.05,-121.84,-110.77,-0,-0.75,9.22,0.16,0.0456,1.0999,11.99,25750.58,7.86,91.84,1.456,-0,-0.9997,122.68,123.25,125.89,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7512
78.21,448.02,-4,-125.3,-111.95,0.012,-0.6,8.16,0.09,0.0357,1.1193,12.04,44364.2,7.86,91.87,1.512,-0,-0.9998,122.65,123.25,125.97,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7513
78.18,448.03,-2.56,-127.59,-110.5,0.004,-1.52,7.3,0.16,0.0232,1.1547,12.1,25761.55,7.86,91.89,1.531,-0,-0.9997,122.59,123.21,125.97,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7514
78.19,448.04,-0.98,-129.13,-108.19,0.006,-2.23,6.92,0.09,0.009,1.1935,12.11,44393.46,7.86,91.87,1.581,-0,-0.9998,122.5,123.21,126.03,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7515
78.21,448.05,-0.16,-129.23,-104.84,-0.002,-2.14,6.35,0.03,0.0015,1.2327,12.03,160162.58,7.86,91.85,1.612,-0,-1,122.4,123.23,125.99,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7516
78.2,448.06,-0.42,-129.07,-101.76,0.001,-2.14,6.01,0.03,0.0042,1.2683,11.97,160046.8,7.86,91.81,1.661,-0,-1,122.38,123.21,125.99,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7517
78.18,448.07,-1.33,-128.93,-99.39,0.01,-1.9,6.09,0.09,0.0134,1.2972,11.92,44318.53,7.86,91.8,1.697,-0,-0.9998,122.31,123.16,126.03,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",7518
