RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index
25,12,0,-154.88,0.698,346.42,-80.6,3755
25,12,0,-152.52,0.745,346.43,-84.46,3756
25,12,0,-150.54,0.777,346.44,-88.31,3757
25,12,0,-150.32,0.833,346.45,-92.53,3758
25,12,0,-149.87,0.867,346.46,-97.34,3759
25,12,0,-151.56,0.89,346.47,-102.15,3760
25,12,0,-159.66,1.035,346.51,-121.29,3764
25,12,0,-159.06,1.072,346.52,-124.7,3765
25,12,0,-157.36,1.123,346.53,-127.47,3766
25,12,0,-154.71,1.139,346.54,-129.78,3767
25,12,0,-156.54,1.4,346.6,-149.51,3773
25,12,0,-159.11,1.434,346.61,-154.01,3774
25,12,0,-160.75,1.487,346.62,-158.68,3775
25,12,0,-160.82,1.518,346.63,-162.55,3776
25,12,0,-155.7,1.591,346.65,-167.31,3778
25,12,0,-152.63,1.64,346.66,-168.69,3779
25,12,0,-150.23,1.68,346.67,-169.58,3780
25,12,0,-148.85,1.705,346.68,-171.13,3781
25,12,0,-149,1.752,346.69,-173.63,3782
25,12,0,-150.92,1.803,346.7,-177.23,3783
25,12,0,-153.27,1.833,346.71,-181.39,3784
25,12,0,-155.81,1.864,346.72,-186.24,3785
25,12,0,-157.71,1.957,346.74,-194.32,3787
25,12,0,-156.76,1.991,346.75,-196.63,3788
25,12,0,-153.27,2.043,346.76,-197.37,3789
25,12,-0,-149.72,2.078,346.77,-197.18,3790
25,12,0,-145.99,2.179,346.79,-196.86,3792
25,12,0,-149.1,2.299,346.82,-206.2,3795
25,12,0,-151.77,2.333,346.83,-210.85,3796
25,12,0,-153.99,2.366,346.84,-215.72,3797
25,12,0,-154.41,2.411,346.85,-219.43,3798
25,12,-0,-153.29,2.443,346.86,-221.56,3799
25,12,0,-143.8,2.581,346.9,-218.7,3803
25,12,0,-143.75,2.625,346.91,-219.61,3804
25,12,0,-144.55,2.658,346.92,-222.11,3805
25,12,0,-146.62,2.7,346.93,-226.17,3806
25,12,0,-149.03,2.747,346.94,-231.19,3807
25,12,0,-152.51,2.823,346.96,-240.19,3809
25,12,0,-151.98,2.869,346.97,-242.53,3810
25,12,-0,-149.9,2.903,346.98,-242.79,3811
25,12,0,-146.74,2.949,346.99,-241.23,3812
25,12,0,-143.54,2.976,347,-238.7,3813
25,12,0,-142.15,3.038,347.01,-237.31,3814
25,12,-0,-140.57,3.072,347.02,-237.58,3815
25,12,0,-148.81,3.244,347.06,-255.36,3819
25,12,0,-150.31,3.298,347.07,-259.55,3820
25,12,0,-150.35,3.34,347.08,-262.06,3821
25,12,0,-149.07,3.37,347.09,-262.19,3822
25,12,0,-140.72,3.576,347.14,-256.83,3827
25,12,0,-142.19,3.599,347.15,-260.56,3828
25,12,0,-144.21,3.636,347.16,-265.55,3829
25,12,0,-146.39,3.672,347.17,-271.01,3830
25,12,0,-148.72,3.718,347.18,-275.22,3831
25,12,0,-148.11,3.792,347.2,-277.67,3833
25,12,0,-146.22,3.838,347.21,-275.22,3834
25,12,0,-143.46,3.87,347.22,-271.74,3835
25,12,0,-140.86,3.907,347.23,-268.77,3836
25,12,0,-139.73,3.951,347.24,-267.66,3837
25,12,0,-139.13,3.991,347.25,-268.92,3838
25,12,0,-140.71,4.034,347.26,-272.63,3839
25,12,0,-142.66,4.063,347.27,-278.12,3840
25,12,0,-145.21,4.106,347.28,-283.23,3841
25,12,0,-147.38,4.153,347.29,-288.39,3842
25,12,0,-149.16,4.199,347.3,-291.49,3843
25,12,0,-148.99,4.236,347.31,-292.27,3844
25,12,0,-147.51,4.276,347.32,-290.38,3845
25,12,0,-144.27,4.322,347.33,-287.25,3846
25,12,0,-142.22,4.525,347.38,-291.27,3851
25,12,-0,-144.05,4.558,347.39,-296.86,3852
25,12,0,-146.99,4.608,347.4,-302.02,3853
25,12,0,-148.76,4.65,347.41,-306.09,3854
25,12,0,-143.8,4.813,347.45,-300.27,3858
25,12,0,-141.24,4.845,347.46,-297.61,3859
25,12,0,-139.97,4.929,347.48,-299.01,3861
25,12,0,-141.36,4.963,347.49,-303.53,3862
25,12,0,-143.73,5.004,347.5,-308.8,3863
25,12,0,-146.9,5.045,347.51,-314.41,3864
25,12,0,-149.28,5.069,347.52,-318.46,3865
25,12,0,-150.36,5.124,347.53,-321.26,3866
25,12,0,-150.52,5.171,347.54,-320.66,3867
25,12,0,-145.74,5.233,347.56,-313.61,3869
25,12,0,-142.75,5.268,347.57,-310.03,3870
25,12,0,-140.81,5.319,347.58,-308.33,3871
25,12,0,-140.49,5.359,347.59,-309.55,3872
25,12,0,-141.86,5.396,347.6,-313.15,3873
25,12,0,-144.17,5.44,347.61,-318.26,3874
25,12,0,-146.44,5.482,347.62,-323.73,3875
25,12,-0,-148.89,5.515,347.63,-328.37,3876
25,12,0,-150.79,5.558,347.64,-332.13,3877
25,12,0,-151.21,5.593,347.65,-332.9,3878
25,12,0,-141.27,5.807,347.7,-319.17,3883
25,12,0,-141.72,5.833,347.71,-321.17,3884
25,12,0,-143.6,5.888,347.72,-325.71,3885
25,12,0,-148.93,6.115,347.78,-337.37,3891
25,12,-0,-146.06,6.162,347.79,-332.06,3892
25,12,0,-143.52,6.196,347.8,-328.18,3893
25,12,0,-142.1,6.242,347.81,-326.47,3894
25,12,0,-141.4,6.284,347.82,-328.02,3895
25,12,0,-142.24,6.312,347.83,-331.9,3896
