AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.51,346.41,-6.8,-76.28,-157.36,0.006,-2.18,4.1,0.09,0.0432,0.4848,11.97,44409.59,7.75,91.29,0.658,-0,-0.9998,122.74,124.86,125.12,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3754
78.48,346.42,-5.93,-80.6,-154.88,0.001,-2.29,3.28,0.09,0.0383,0.5204,12.01,44398.8,7.75,91.29,0.698,-0,-0.9998,122.59,124.75,125.12,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3755
78.49,346.43,-5.51,-84.46,-152.52,0.006,-1.77,2.94,-0.04,0.0361,0.5538,12.11,-99572.88,7.75,91.28,0.745,-0,-1.0001,122.5,124.72,125.04,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3756
78.52,346.44,-5.8,-88.31,-150.54,0.001,-1.29,3.14,0.03,0.0385,0.5866,12.17,160218.11,7.75,91.22,0.777,-0,-1,122.31,124.66,125.04,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3757
78.49,346.45,-7.07,-92.53,-150.32,0.013,-0.4,3.63,0.03,0.0471,0.6155,12.15,160178.19,7.75,91.18,0.833,-0,-1,122.29,124.68,125.02,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3758
78.48,346.46,-8.49,-97.34,-149.87,0.01,-1.68,4.76,0.03,0.0567,0.6495,12.1,160250.7,7.75,91.13,0.867,-0,-1,122.25,124.61,125.06,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3759
78.5,346.47,-9.11,-102.15,-151.56,0.007,-1.31,6.79,0.03,0.0601,0.674,12.01,160286.64,7.75,91.1,0.89,-0,-1,122.25,124.61,125.2,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3760
78.52,346.48,-9.13,-107.11,-153.72,-0.002,-1.4,8.8,0.03,0.0594,0.6968,11.92,160209.64,7.75,91.11,0.939,-0,-1,122.27,124.66,125.24,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3761
78.48,346.49,-8.75,-112.29,-156.77,0.01,-1.1,10.03,-0.04,0.0558,0.7163,11.92,-99588.97,7.75,91.13,0.961,-0,-1.0001,122.35,124.68,125.24,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3762
78.49,346.5,-7.37,-116.78,-158.52,0.003,-1.34,11.18,0.09,0.0465,0.7367,11.94,44373.7,7.75,91.11,1.01,-0,-0.9998,122.35,124.59,125.3,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3763
78.51,346.51,-5.5,-121.29,-159.66,0.004,-1.32,11.83,0.09,0.0344,0.7596,12,44332.11,7.75,91.13,1.035,-0,-0.9998,122.35,124.59,125.3,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3764
78.5,346.52,-3.37,-124.7,-159.06,0.01,-1.07,12.34,0.09,0.0212,0.784,12.08,44372.65,7.75,91.16,1.072,-0,-0.9998,122.29,124.55,125.34,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3765
78.47,346.53,-0.82,-127.47,-157.36,0.009,-0.58,13.33,0.16,0.0052,0.8101,12.08,25748.25,7.75,91.18,1.123,-0,-0.9997,122.29,124.5,125.32,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",3766
